OID,GEOID10,Census Tract,Block Group,Block Group Name,Tract and Block Group,Gross Land Acres,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Population Change 2000-2010,Percent Population Change 2000-2010,Population Change 2010-2017,Percent Population Change 2010-2017,2017 Population Density,2010 to 2017 Population Change,2010 to 2017 Percent Population Change,2010 Population Density
420,5.3033E+11,115,1,Block Group 1,11500.1,136.8946513,1352,1354.517,1354.508,1363.48,1371.014,1380.106,1401.235,1434.826,38.947,2.97%,82.826,6.13%,10.47445255,83,6.1,9.868613139
421,5.3033E+11,114.01,1,Block Group 1,11401.1,90.61230769,1342,1344.364,1345.455,1353.085,1368.756,1388.16,1418.178,1450.839,57.949,4.51%,108.839,8.11%,15.94505495,109,8.1,14.74725275
422,5.3033E+11,107.01,2,Block Group 2,10701.2,125.6389291,1229,1227.962,1228.559,1234.356,1251.377,1286.676,1332.009,1397.041,41.954,3.53%,168.041,13.67%,11.08730159,168,13.7,9.753968254
423,5.3033E+11,98,1,Block Group 1,9800.1,123.1004877,1246,1240.542,1252.823,1259.228,1359.895,1395.978,1421.552,1458.335,52.953,4.44%,212.335,17.04%,11.85365854,212,17,10.1300813
424,5.3033E+11,96,3,Block Group 3,9600.3,88.26530078,1010,1009.05,1009.457,1009.481,1028.292,1045.501,1070.208,1092.565,-33.043,-3.17%,82.565,8.18%,12.42045455,83,8.2,11.47727273
425,5.3033E+11,56,3,Block Group 3,5600.3,217.3700937,1289,1290.106,1290.762,1287.654,1299.066,1312.367,1335.389,1368.353,-3.054,-0.24%,79.353,6.16%,6.304147465,79,6.2,5.940092166
426,5.3033E+11,70,6,Block Group 6,7000.6,37.14315113,1035,1033.626,1034.083,1051.411,1059.984,1079.999,1099.441,1134.987,-14.042,-1.34%,99.987,9.66%,30.67567568,100,9.7,27.97297297
427,5.3033E+11,69,4,Block Group 4,6900.4,54.6058413,1163,1172.955,1178.174,1179.772,1206.882,1256.247,1302.138,1338.526,124.958,12.04%,175.526,15.09%,24.34545455,176,15.1,21.14545455
428,5.3033E+11,56,4,Block Group 4,5600.4,111.4153684,1205,1204.058,1207.441,1212.034,1214.099,1231.959,1252.098,1264.948,1.953,0.16%,59.948,4.98%,11.3963964,60,5,10.85585586
429,5.3033E+11,6,3,Block Group 3,600.3,189.4201124,1415,1415.858,1420.117,1423.134,1440.401,1459.567,1480.717,1518.639,227.95,19.20%,103.639,7.32%,8.037037037,104,7.3,7.486772487
430,5.3033E+11,7,3,Block Group 3,700.3,80.58477132,864,863.232,863.711,868.154,876.287,888.219,904.92,927.565,113.969,15.20%,63.565,7.36%,11.45679012,64,7.4,10.66666667
431,5.3033E+11,6,1,Block Group 1,600.1,222.6058709,1407,1409.146,1409.375,1415.559,1421.504,1433.022,1448.354,1485.032,98.948,7.57%,78.032,5.55%,6.659192825,78,5.5,6.30941704
432,5.3033E+11,12,3,Block Group 3,1200.3,61.02489779,1349,1347.154,1347.697,1354.425,1360.6,1749.443,1830.839,1896.5,196.954,17.10%,547.5,40.59%,31.09836066,548,40.6,22.1147541
433,5.3033E+11,6,4,Block Group 4,600.4,240.7787419,1544,1544.3,1545.301,1547.99,1562.785,1590.468,1611.122,1557.757,73.942,5.03%,13.757,0.89%,6.46473029,14,0.9,6.406639004
434,5.3033E+11,17.01,1,Block Group 1,1701.1,80.0050621,1605,1603.36,1616.197,1629.031,1651.184,1668.533,1699.957,1691.349,417.954,35.21%,86.349,5.38%,21.1375,86,5.4,20.0625
435,5.3033E+11,15,2,Block Group 2,1500.2,154.1073386,1249,1246.042,1246.64,1254.724,1261.389,1267.152,1289.347,1330.155,48.95,4.08%,81.155,6.50%,8.636363636,81,6.5,8.11038961
436,5.3033E+11,17.02,3,Block Group 3,1702.3,72.72904416,1004,1004.759,1004.768,1009.784,1018.37,1037.354,1041.723,1245.707,59.962,6.35%,241.707,24.07%,17.06849315,242,24.1,13.75342466
437,5.3033E+11,5,1,Block Group 1,500.1,430.7203905,1236,1236.693,1234.692,1243.386,1251.812,1262.92,1283.151,1313.138,-159.056,-11.40%,77.138,6.24%,3.046403712,77,6.2,2.86774942
438,5.3033E+11,35,2,Block Group 2,3500.2,82.91892875,1335,1333.594,1328.727,1332.78,1340.651,1354.467,1371.707,1408.887,91.953,7.40%,73.887,5.54%,16.97590361,74,5.5,16.08433735
439,5.3033E+11,33,3,Block Group 3,3300.3,64.69218875,1694,1718.142,1721.969,1748.051,1796.117,1842.3,1914.977,2053.777,178.938,11.81%,359.777,21.24%,31.6,360,21.2,26.06153846
440,5.3033E+11,30,3,Block Group 3,3000.3,96.56161684,1407,1405.767,1405.849,1415.121,1417.776,1434.067,1455.738,1494.189,57.945,4.30%,87.189,6.20%,15.40206186,87,6.2,14.50515464
441,5.3033E+11,31,3,Block Group 3,3100.3,73.03693746,1284,1284.876,1284.577,1287.929,1292.048,1303.637,1318.381,1351.143,22.948,1.82%,67.143,5.23%,18.50684932,67,5.2,17.5890411
442,5.3033E+11,29,1,Block Group 1,2900.1,89.13980672,1393,1391.813,1392.597,1395.677,1406.887,1432.054,1540.986,1583.225,26.944,1.97%,190.225,13.66%,17.78651685,190,13.7,15.65168539
443,5.3033E+11,38,2,Block Group 2,3800.2,68.89396864,961,960.205,960.367,959.602,975.881,973.792,990.146,1015.55,6.96,0.73%,54.55,5.68%,14.72463768,55,5.7,13.92753623
444,5.3033E+11,40,2,Block Group 2,4000.2,83.30169499,989,979.562,980.002,980.069,989.133,1003.314,1013.16,1037.752,120.966,13.94%,48.752,4.93%,12.5060241,49,4.9,11.91566265
445,5.3033E+11,46,1,Block Group 1,4600.1,263.0567332,1078,1078.741,1079.394,1086.612,1097.299,1117.941,1129.59,1159.012,44.955,4.35%,81.012,7.52%,4.406844106,81,7.5,4.098859316
446,5.3033E+11,43.01,2,Block Group 2,4301.2,64.61459766,1208,1208.691,1209.378,1219.151,1220.842,1244.093,1263.739,1295.114,46.954,4.04%,87.114,7.21%,19.92307692,87,7.2,18.58461538
447,5.3033E+11,44,2,Block Group 2,4400.2,81.78422084,1633,1631.545,1632.175,1631.615,1659.778,1848.828,1901.418,1941.253,92.938,6.04%,308.253,18.88%,23.67073171,308,18.9,19.91463415
448,5.3033E+11,36,4,Block Group 4,3600.4,66.75403604,1829,1818.359,1822.432,1827.718,1860.274,1929.344,1967.353,2148.624,395.941,27.63%,319.624,17.48%,32.07462687,320,17.5,27.29850746
